"","FBgn","Symbol","ensembl","CG","Start","End","Strand","CHR","Name"
"FBgn0000003","FBgn0000003","7SLRNA:CR32864","3771948","CR32864",6820130,6822798,0,"3R","3771948"
"FBgn0000008","FBgn0000008","a","43852","CG6741",22136967,22172834,1,"2R","43852"
"FBgn0000014","FBgn0000014","abd-A","42037","CG10325",16807213,16830049,-1,"3R","42037"
"FBgn0000015","FBgn0000015","Abd-B","47763","CG11648",16927211,16972236,-1,"3R","47763"
"FBgn0000017","FBgn0000017","Abl","45821","CG4032",16615865,16647882,-1,"3L","45821"
"FBgn0000018","FBgn0000018","abo","44793","CG6093",10973442,10975293,-1,"2L","44793"
"FBgn0000022","FBgn0000022","ac","30981","CG3796",370030,370947,1,"X","30981"
"FBgn0000024","FBgn0000024","Ace","41625","CG17907",13222950,13259517,-1,"3R","41625"
"FBgn0000028","FBgn0000028","acj6","47080","CG9151",15350238,15379064,-1,"X","47080"
"FBgn0000032","FBgn0000032","Acph-1","48445","CG7899",29991143,29993411,-1,"3R","48445"
"FBgn0000036","FBgn0000036","nAChRalpha1","42918","CG5610",24393895,24457157,-1,"3R","42918"
"FBgn0000037","FBgn0000037","mAChR-A","37892","CG4356",24378629,24390294,-1,"2R","37892"
"FBgn0000038","FBgn0000038","nAChRbeta1","38545","CG11348",4429348,4435993,1,"3L","38545"
"FBgn0000039","FBgn0000039","nAChRalpha2","42919","CG6844",24485427,24491147,1,"3R","42919"
"FBgn0000042","FBgn0000042","Act5C","31521","CG4027",5900860,5905399,1,"X","31521"
"FBgn0000043","FBgn0000043","Act42A","35526","CG12051",6013909,6015689,-1,"2R","35526"
"FBgn0000044","FBgn0000044","Act57B","37368","CG10067",20944020,20946431,1,"2R","37368"
"FBgn0000045","FBgn0000045","Act79B","40444","CG7478",21985209,21987190,1,"3L","40444"
"FBgn0000046","FBgn0000046","Act87E","48632","CG18290",13425982,13428375,1,"3R","48632"
"FBgn0000047","FBgn0000047","Act88F","41885","CG5178",15439968,15442177,1,"3R","41885"
"FBgn0000052","FBgn0000052","Pfas","33847","CG9127",6041180,6046050,-1,"2L","33847"
"FBgn0000053","FBgn0000053","Gart","33986","CG31628",7014622,7023898,-1,"2L","33986"
"FBgn0000055","FBgn0000055","Adh","3771877","CG3481",14615551,14618902,1,"2L","3771877"
"FBgn0000057","FBgn0000057","adp","37073","CG5124",18151703,18154060,1,"2R","37073"
"FBgn0000061","FBgn0000061","al","33208","CG3935",378111,387439,1,"2L","33208"
"FBgn0000063","FBgn0000063","Mps1","42126","CG7643",17671270,17673828,1,"3R","42126"
"FBgn0000064","FBgn0000064","Ald1","43183","CG6058",26254068,26261591,-1,"3R","43183"
"FBgn0000071","FBgn0000071","Ama","40831","CG2198",6762592,6765261,1,"3R","40831"
"FBgn0000075","FBgn0000075","amd","35188","CG10501",19110153,19114110,1,"2L","35188"
"FBgn0000077","FBgn0000077","amx","43869","CG12127",9245914,9247336,-1,"X","43869"
"FBgn0000078","FBgn0000078","Amy-d","36932","CG17876",17124763,17126369,1,"2R","36932"
"FBgn0000079","FBgn0000079","Amy-p","47764","CG18730",17118635,17120303,-1,"2R","47764"
"FBgn0000083","FBgn0000083","AnxB9","42492","CG5730",21065240,21070917,1,"3R","42492"
"FBgn0000084","FBgn0000084","AnxB10","33019","CG9579",20171444,20173514,-1,"X","33019"
"FBgn0000092","FBgn0000092","dyw","31252","CG2650",2692731,2693886,-1,"X","31252"
"FBgn0000097","FBgn0000097","aop","33392","CG3166",2156483,2178754,-1,"2L","33392"
"FBgn0000100","FBgn0000100","RpLP0","40451","CG7490",22075866,22077487,1,"3L","40451"
"FBgn0000108","FBgn0000108","Appl","31002","CG7727",530500,579044,1,"X","31002"
"FBgn0000109","FBgn0000109","Aprt","48224","CG18315",1883794,1885019,-1,"3L","48224"
"FBgn0000114","FBgn0000114","bru1","34648","CG31762",12175003,12313438,1,"2L","34648"
"FBgn0000115","FBgn0000115","Arl1","39745","CG6025",15983134,15984362,1,"3L","39745"
"FBgn0000116","FBgn0000116","Argk","39041","CG32031",9048780,9066027,-1,"3L","39041"
"FBgn0000117","FBgn0000117","arm","31151","CG11579",1891400,1900646,-1,"X","31151"
"FBgn0000119","FBgn0000119","arr","44279","CG5912",13453639,13483229,-1,"2R","44279"
"FBgn0000120","FBgn0000120","Arr1","35078","CG5711",18078268,18081307,1,"2L","35078"
"FBgn0000121","FBgn0000121","Arr2","38993","CG5962",8647260,8648936,-1,"3L","38993"
"FBgn0000137","FBgn0000137","ase","30985","CG3258",460746,463176,1,"X","30985"
"FBgn0000139","FBgn0000139","ash2","42936","CG6677",24650124,24653376,1,"3R","42936"
"FBgn0000140","FBgn0000140","asp","42946","CG6875",24753848,24760513,1,"3R","42946"
"FBgn0000146","FBgn0000146","aub","34524","CG6137",10997818,11001476,-1,"2L","34524"
"FBgn0000147","FBgn0000147","aurA","41446","CG3068",11963123,11964826,1,"3R","41446"
"FBgn0000150","FBgn0000150","awd","43739","CG2210",31745171,31746077,-1,"3R","43739"
"FBgn0000152","FBgn0000152","Axs","32645","CG9703",16680088,16683895,-1,"X","32645"
"FBgn0000153","FBgn0000153","b","34791","CG7811",13821247,13823979,1,"2L","34791"
"FBgn0000157","FBgn0000157","Dll","37973","CG3629",24814821,24835667,1,"2R","37973"
"FBgn0000158","FBgn0000158","bam","43038","CG10422",25243038,25245109,-1,"3R","43038"
"FBgn0000163","FBgn0000163","baz","32703","CG5055",17160005,17200728,1,"X","32703"
"FBgn0000166","FBgn0000166","bcd","40830","CG1034",6755841,6759466,-1,"3R","40830"
"FBgn0000173","FBgn0000173","ben","32358","CG18319",13996344,13999805,1,"X","32358"
"FBgn0000179","FBgn0000179","bi","31379","CG3578",4412855,4485647,1,"X","31379"
"FBgn0000180","FBgn0000180","bib","34330","CG4722",9984644,9995538,1,"2L","34330"
"FBgn0000181","FBgn0000181","bic","45827","CG3644",12870248,12871794,1,"2R","45827"
